Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load,duration
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21,33.67,172
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43,174
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71,176
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48,178
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7,180
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8,182
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28,184
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87,186
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27,188
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28,190
0.69,735,294,220.5,3.5,3,0.1,1,11.13,14.61,192
0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3,194
0.69,735,294,220.5,3.5,5,0.1,1,11.16,14.45,196
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9,198
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72,200
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88,202
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65,204
0.64,784,343,220.5,3.5,2,0.1,1,15.41,19.37,206
0.64,784,343,220.5,3.5,3,0.1,1,15.2,19.43,208
0.64,784,343,220.5,3.5,4,0.1,1,15.42,19.34,210
0.64,784,343,220.5,3.5,5,0.1,1,15.21,19.32,212
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,214
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5,216
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33,218
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27,220
0.98,514.5,294,110.25,7,2,0.1,2,24.29,25.95,222
0.98,514.5,294,110.25,7,3,0.1,2,24.31,25.63,224
0.98,514.5,294,110.25,7,4,0.1,2,24.13,26.13,226
0.98,514.5,294,110.25,7,5,0.1,2,24.25,25.89,228
0.9,563.5,318.5,122.5,7,2,0.1,2,28.88,32.54,230
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68,29.44,232
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83,29.36,234
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9,34.2,236
0.86,588,294,147,7,2,0.1,2,26.48,30.91,238
0.86,588,294,147,7,3,0.1,2,27.02,25.63,240
0.86,588,294,147,7,4,0.1,2,26.33,27.36,242
0.86,588,294,147,7,5,0.1,2,25.36,31.9,244
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38,246
0.82,612.5,318.5,147,7,3,0.1,2,24.23,25.02,248
0.82,612.5,318.5,147,7,4,0.1,2,23.67,24.8,250
0.82,612.5,318.5,147,7,5,0.1,2,22.79,28.79,252
0.79,637,343,147,7,2,0.1,2,35.65,41.07,254
0.79,637,343,147,7,3,0.1,2,37.26,34.62,256
0.79,637,343,147,7,4,0.1,2,36.97,33.87,258
0.79,637,343,147,7,5,0.1,2,36.03,42.86,260
0.76,661.5,416.5,122.5,7,2,0.1,2,33.16,33.91,262
0.76,661.5,416.5,122.5,7,3,0.1,2,32.4,34.07,264
0.76,661.5,416.5,122.5,7,4,0.1,2,33.12,34.17,266
0.76,661.5,416.5,122.5,7,5,0.1,2,32.41,33.78,268
0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39,270
0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72,272
0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57,274
0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79,276
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67,278
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11,280
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,13.8,282
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,14.21,284
0.69,735,294,220.5,3.5,2,0.1,2,11.45,13.2,286
0.69,735,294,220.5,3.5,3,0.1,2,11.46,13.54,288
0.69,735,294,220.5,3.5,4,0.1,2,11.32,13.32,290
0.69,735,294,220.5,3.5,5,0.1,2,11.49,13.51,292
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,14.86,294
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42,14.75,296
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,15,298
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43,14.74,300
0.64,784,343,220.5,3.5,2,0.1,2,15.41,19.23,302
0.64,784,343,220.5,3.5,3,0.1,2,15.18,19.34,304
0.64,784,343,220.5,3.5,4,0.1,2,15.34,19.32,306
0.64,784,343,220.5,3.5,5,0.1,2,15.19,19.3,308
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,14.37,310
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13,14.57,312
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27,314
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24,316
0.98,514.5,294,110.25,7,2,0.1,3,24.28,25.68,318
0.98,514.5,294,110.25,7,3,0.1,3,24.4,26.02,320
0.98,514.5,294,110.25,7,4,0.1,3,24.11,25.84,322
0.98,514.5,294,110.25,7,5,0.1,3,24.35,26.14,324
0.9,563.5,318.5,122.5,7,2,0.1,3,28.07,34.14,326
0.9,563.5,318.5,122.5,7,3,0.1,3,29.01,32.85,328
0.9,563.5,318.5,122.5,7,4,0.1,3,29.62,30.08,330
0.9,563.5,318.5,122.5,7,5,0.1,3,29.05,29.67,332
0.86,588,294,147,7,2,0.1,3,25.41,31.73,334
0.86,588,294,147,7,3,0.1,3,26.47,31.01,336
0.86,588,294,147,7,4,0.1,3,26.89,25.9,338
0.86,588,294,147,7,5,0.1,3,26.46,27.4,340
0.82,612.5,318.5,147,7,2,0.1,3,22.93,28.68,342
0.82,612.5,318.5,147,7,3,0.1,3,23.84,27.54,344
0.82,612.5,318.5,147,7,4,0.1,3,24.17,25.35,346
0.82,612.5,318.5,147,7,5,0.1,3,23.87,24.93,348
0.79,637,343,147,7,2,0.1,3,35.78,43.12,350
0.79,637,343,147,7,3,0.1,3,35.48,41.22,352
0.79,637,343,147,7,4,0.1,3,36.97,35.1,354
0.79,637,343,147,7,5,0.1,3,36.7,34.29,356
0.76,661.5,416.5,122.5,7,2,0.1,3,32.52,33.85,358
0.76,661.5,416.5,122.5,7,3,0.1,3,33.28,34.11,360
0.76,661.5,416.5,122.5,7,4,0.1,3,32.33,34.48,362
0.76,661.5,416.5,122.5,7,5,0.1,3,33.24,34.5,364
0.74,686,245,220.5,3.5,2,0.1,3,10.39,13.6,366
0.74,686,245,220.5,3.5,3,0.1,3,10.34,13.36,368
0.74,686,245,220.5,3.5,4,0.1,3,10.35,13.65,370
0.74,686,245,220.5,3.5,5,0.1,3,10.38,13.49,372
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,14.14,374
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,13.77,376
0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68,14.3,378
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87,380
0.69,735,294,220.5,3.5,2,0.1,3,11.22,14.44,382
0.69,735,294,220.5,3.5,3,0.1,3,11.16,14.27,384
0.69,735,294,220.5,3.5,4,0.1,3,11.1,14.67,386
0.69,735,294,220.5,3.5,5,0.1,3,11.14,14.4,388
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46,390
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7,392
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59,394
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83,396
0.64,784,343,220.5,3.5,2,0.1,3,15.16,19.14,398
0.64,784,343,220.5,3.5,3,0.1,3,15.36,19.18,400
0.64,784,343,220.5,3.5,4,0.1,3,15.12,19.37,402
0.64,784,343,220.5,3.5,5,0.1,3,15.36,19.29,404
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09,406
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23,408
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14,410
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89,412
0.98,514.5,294,110.25,7,2,0.1,4,24.38,25.91,414
0.98,514.5,294,110.25,7,3,0.1,4,24.23,25.72,416
0.98,514.5,294,110.25,7,4,0.1,4,24.04,26.18,418
0.98,514.5,294,110.25,7,5,0.1,4,24.32,25.87,420
0.9,563.5,318.5,122.5,7,2,0.1,4,29.06,29.34,422
0.9,563.5,318.5,122.5,7,3,0.1,4,28.05,33.91,424
0.9,563.5,318.5,122.5,7,4,0.1,4,28.86,32.83,426
0.9,563.5,318.5,122.5,7,5,0.1,4,29.79,29.92,428
0.86,588,294,147,7,2,0.1,4,26.44,27.17,430
0.86,588,294,147,7,3,0.1,4,25.37,31.76,432
0.86,588,294,147,7,4,0.1,4,26.33,31.06,434
0.86,588,294,147,7,5,0.1,4,27.03,25.81,436
0.82,612.5,318.5,147,7,2,0.1,4,23.8,24.61,438
0.82,612.5,318.5,147,7,3,0.1,4,22.8,28.61,440
0.82,612.5,318.5,147,7,4,0.1,4,23.59,27.57,442
0.82,612.5,318.5,147,7,5,0.1,4,24.24,25.16,444
0.79,637,343,147,7,2,0.1,4,36.86,34.25,446
0.79,637,343,147,7,3,0.1,4,35.89,43.3,448
0.79,637,343,147,7,4,0.1,4,35.45,41.86,450
0.79,637,343,147,7,5,0.1,4,37.1,35.29,452
0.76,661.5,416.5,122.5,7,2,0.1,4,33.08,34.11,454
0.76,661.5,416.5,122.5,7,3,0.1,4,32.38,33.62,456
0.76,661.5,416.5,122.5,7,4,0.1,4,33.09,33.89,458
0.76,661.5,416.5,122.5,7,5,0.1,4,32.31,34.05,460
0.74,686,245,220.5,3.5,2,0.1,4,10.08,13.2,462
0.74,686,245,220.5,3.5,3,0.1,4,10.15,13.36,464
0.74,686,245,220.5,3.5,4,0.1,4,10.07,13.21,466
0.74,686,245,220.5,3.5,5,0.1,4,10.14,13.53,468
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,13.67,470
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,14.12,472
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79,474
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,14.2,476
0.69,735,294,220.5,3.5,2,0.1,4,11.18,14.29,478
0.69,735,294,220.5,3.5,3,0.1,4,11.22,14.49,480
0.69,735,294,220.5,3.5,4,0.1,4,11.07,14.42,482
0.69,735,294,220.5,3.5,5,0.1,4,11.2,14.73,484
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,14.86,486
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67,488
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,15,490
0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43,14.83,492
0.64,784,343,220.5,3.5,2,0.1,4,15.4,19.24,494
0.64,784,343,220.5,3.5,3,0.1,4,15.19,19.25,496
0.64,784,343,220.5,3.5,4,0.1,4,15.32,19.42,498
0.64,784,343,220.5,3.5,5,0.1,4,15.16,19.48,500
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,14.37,502
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,14.34,504
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13,14.28,506
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13,14.47,508
0.98,514.5,294,110.25,7,2,0.1,5,24.35,25.64,510
0.98,514.5,294,110.25,7,3,0.1,5,24.33,25.98,512
0.98,514.5,294,110.25,7,4,0.1,5,24.03,25.88,514
0.98,514.5,294,110.25,7,5,0.1,5,24.26,26.18,516
0.9,563.5,318.5,122.5,7,2,0.1,5,29.83,29.82,518
0.9,563.5,318.5,122.5,7,3,0.1,5,29.08,29.52,520
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45,522
0.9,563.5,318.5,122.5,7,5,0.1,5,29.02,33.01,524
0.86,588,294,147,7,2,0.1,5,27.03,25.82,526
0.86,588,294,147,7,3,0.1,5,26.45,27.33,528
0.86,588,294,147,7,4,0.1,5,25.36,32.04,530
0.86,588,294,147,7,5,0.1,5,26.45,31.28,532
0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11,534
0.82,612.5,318.5,147,7,3,0.1,5,23.89,24.77,536
0.82,612.5,318.5,147,7,4,0.1,5,22.89,28.88,538
0.82,612.5,318.5,147,7,5,0.1,5,23.86,27.69,540
0.79,637,343,147,7,2,0.1,5,37.03,34.99,542
0.79,637,343,147,7,3,0.1,5,36.71,34.18,544
0.79,637,343,147,7,4,0.1,5,36.77,43.14,546
0.79,637,343,147,7,5,0.1,5,35.48,41.26,548
0.76,661.5,416.5,122.5,7,2,0.1,5,32.31,34.25,550
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35,552
0.76,661.5,416.5,122.5,7,4,0.1,5,32.46,33.64,554
0.76,661.5,416.5,122.5,7,5,0.1,5,33.27,33.88,556
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65,558
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44,560
0.74,686,245,220.5,3.5,4,0.1,5,10.34,13.72,562
0.74,686,245,220.5,3.5,5,0.1,5,10.39,13.5,564
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78,14.18,566
0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7,13.75,568
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26,570
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69,13.89,572
0.69,735,294,220.5,3.5,2,0.1,5,11.21,14.55,574
0.69,735,294,220.5,3.5,3,0.1,5,11.14,14.28,576
0.69,735,294,220.5,3.5,4,0.1,5,11.11,14.46,578
0.69,735,294,220.5,3.5,5,0.1,5,11.16,14.39,580
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54,582
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81,584
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65,586
0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34,14.87,588
0.64,784,343,220.5,3.5,2,0.1,5,15.16,19.24,590
0.64,784,343,220.5,3.5,3,0.1,5,15.37,19.18,592
0.64,784,343,220.5,3.5,4,0.1,5,15.12,19.26,594
0.64,784,343,220.5,3.5,5,0.1,5,15.36,19.29,596
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24,598
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97,600
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99,602
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15,604
0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79,606
0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79,608
0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28,610
0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49,612
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12,614
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17,616
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71,618
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58,620
0.86,588,294,147,7,2,0.25,1,29.54,33.98,622
0.86,588,294,147,7,3,0.25,1,30.05,28.61,624
0.86,588,294,147,7,4,0.25,1,29.6,30.12,626
0.86,588,294,147,7,5,0.25,1,28.66,34.73,628
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17,630
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84,632
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25,634
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39,636
0.79,637,343,147,7,2,0.25,1,38.67,43.8,638
0.79,637,343,147,7,3,0.25,1,40.03,37.81,640
0.79,637,343,147,7,4,0.25,1,39.86,36.85,642
0.79,637,343,147,7,5,0.25,1,39.04,45.52,644
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85,646
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58,648
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45,650
0.76,661.5,416.5,122.5,7,5,0.25,1,36.43,36.62,652
0.74,686,245,220.5,3.5,2,0.25,1,12.43,15.19,654
0.74,686,245,220.5,3.5,3,0.25,1,12.5,15.5,656
0.74,686,245,220.5,3.5,4,0.25,1,12.41,15.28,658
0.74,686,245,220.5,3.5,5,0.25,1,12.45,15.5,660
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42,662
0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65,15.85,664
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57,15.44,666
0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63,15.81,668
0.69,735,294,220.5,3.5,2,0.25,1,12.78,15.21,670
0.69,735,294,220.5,3.5,3,0.25,1,12.93,15.63,672
0.69,735,294,220.5,3.5,4,0.25,1,12.73,15.48,674
0.69,735,294,220.5,3.5,5,0.25,1,12.72,15.78,676
0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17,16.39,678
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27,680
0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17,16.39,682
0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18,16.19,684
0.64,784,343,220.5,3.5,2,0.25,1,17.5,21.13,686
0.64,784,343,220.5,3.5,3,0.25,1,17.35,21.19,688
0.64,784,343,220.5,3.5,4,0.25,1,17.52,21.09,690
0.64,784,343,220.5,3.5,5,0.25,1,17.37,21.08,692
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09,15.77,694
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95,696
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77,698
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16,15.76,700
0.98,514.5,294,110.25,7,2,0.25,2,28.67,29.62,702
0.98,514.5,294,110.25,7,3,0.25,2,28.57,29.69,704
0.98,514.5,294,110.25,7,4,0.25,2,28.18,30.18,706
0.98,514.5,294,110.25,7,5,0.25,2,28.6,30.02,708
0.9,563.5,318.5,122.5,7,2,0.25,2,32.46,35.56,710
0.9,563.5,318.5,122.5,7,3,0.25,2,33.27,32.64,712
0.9,563.5,318.5,122.5,7,4,0.25,2,32.33,32.77,714
0.9,563.5,318.5,122.5,7,5,0.25,2,31.66,37.72,716
0.86,588,294,147,7,2,0.25,2,29.34,33.37,718
0.86,588,294,147,7,3,0.25,2,29.87,27.89,720
0.86,588,294,147,7,4,0.25,2,29.27,29.9,722
0.86,588,294,147,7,5,0.25,2,28.4,34.52,724
0.82,612.5,318.5,147,7,2,0.25,2,25.74,28.27,726
0.82,612.5,318.5,147,7,3,0.25,2,25.98,26.96,728
0.82,612.5,318.5,147,7,4,0.25,2,25.38,26.72,730
0.82,612.5,318.5,147,7,5,0.25,2,24.94,29.88,732
0.79,637,343,147,7,2,0.25,2,38.57,43.86,734
0.79,637,343,147,7,3,0.25,2,40.19,37.41,736
0.79,637,343,147,7,4,0.25,2,39.97,36.77,738
0.79,637,343,147,7,5,0.25,2,38.98,45.97,740
0.76,661.5,416.5,122.5,7,2,0.25,2,36.95,36.87,742
0.76,661.5,416.5,122.5,7,3,0.25,2,36.28,37.35,744
0.76,661.5,416.5,122.5,7,4,0.25,2,36.86,37.28,746
0.76,661.5,416.5,122.5,7,5,0.25,2,36.45,36.81,748
0.74,686,245,220.5,3.5,2,0.25,2,12.35,14.73,750
0.74,686,245,220.5,3.5,3,0.25,2,12.45,15.1,752
0.74,686,245,220.5,3.5,4,0.25,2,12.16,15.18,754
0.74,686,245,220.5,3.5,5,0.25,2,12.3,15.44,756
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91,758
0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29,15.4,760
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94,762
0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49,15.32,764
0.69,735,294,220.5,3.5,2,0.25,2,12.85,15.52,766
0.69,735,294,220.5,3.5,3,0.25,2,12.87,15.85,768
0.69,735,294,220.5,3.5,4,0.25,2,12.73,15.66,770
0.69,735,294,220.5,3.5,5,0.25,2,12.95,15.99,772
0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05,15.89,774
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85,776
0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77,16.22,778
0.66,759.5,318.5,220.5,3.5,5,0.25,2,13,15.87,780
0.64,784,343,220.5,3.5,2,0.25,2,17.14,20.47,782
0.64,784,343,220.5,3.5,3,0.25,2,16.84,20.56,784
0.64,784,343,220.5,3.5,4,0.25,2,17.02,20.48,786
0.64,784,343,220.5,3.5,5,0.25,2,17.11,20.43,788
0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34,15.32,790
0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66,15.64,792
0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6,15.14,794
0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6,15.3,796
0.98,514.5,294,110.25,7,2,0.25,3,28.67,29.43,798
0.98,514.5,294,110.25,7,3,0.25,3,28.56,29.78,800
0.98,514.5,294,110.25,7,4,0.25,3,28.17,30.1,802
0.98,514.5,294,110.25,7,5,0.25,3,28.63,30.19,804
0.9,563.5,318.5,122.5,7,2,0.25,3,31.63,36.35,806
0.9,563.5,318.5,122.5,7,3,0.25,3,32.4,35.1,808
0.9,563.5,318.5,122.5,7,4,0.25,3,32.68,32.83,810
0.9,563.5,318.5,122.5,7,5,0.25,3,32.29,32.46,812
0.86,588,294,147,7,2,0.25,3,28.4,33.52,814
0.86,588,294,147,7,3,0.25,3,29.4,32.93,816
0.86,588,294,147,7,4,0.25,3,29.43,28.38,818
0.86,588,294,147,7,5,0.25,3,29.07,29.82,820
0.82,612.5,318.5,147,7,2,0.25,3,24.7,28.77,822
0.82,612.5,318.5,147,7,3,0.25,3,25.48,27.76,824
0.82,612.5,318.5,147,7,4,0.25,3,25.37,26.95,826
0.82,612.5,318.5,147,7,5,0.25,3,25.17,26.41,828
0.79,637,343,147,7,2,0.25,3,39.04,45.13,830
0.79,637,343,147,7,3,0.25,3,38.35,43.66,832
0.79,637,343,147,7,4,0.25,3,39.81,37.76,834
